Time,Open,High,Low,Close,Volume,UTCTime
1535932800000,7302.00000000,7410.00000000,6111.00000000,6250.81000000,306231.62342400,2018-09-03T08:00+08:00[Asia/Hong_Kong]
1536537600000,6252.26000000,6584.99000000,6169.68000000,6505.00000000,227428.18285400,2018-09-10T08:00+08:00[Asia/Hong_Kong]
1537142400000,6500.08000000,6839.03000000,6123.00000000,6708.00000000,244256.49012100,2018-09-17T08:00+08:00[Asia/Hong_Kong]
1537747200000,6706.81000000,6814.80000000,6325.02000000,6626.57000000,242598.87247100,2018-09-24T08:00+08:00[Asia/Hong_Kong]
1538352000000,6626.57000000,6697.00000000,6430.00000000,6615.26000000,141836.47648300,2018-10-01T08:00+08:00[Asia/Hong_Kong]
1538956800000,6615.26000000,6715.60000000,6205.00000000,6339.34000000,166310.81354400,2018-10-08T08:00+08:00[Asia/Hong_Kong]
1539561600000,6339.34000000,7680.00000000,6300.00000000,6590.11000000,211592.62313900,2018-10-15T08:00+08:00[Asia/Hong_Kong]
1540166400000,6590.12000000,6639.00000000,6453.00000000,6489.93000000,75328.88538500,2018-10-22T08:00+08:00[Asia/Hong_Kong]
1540771200000,6489.93000000,6525.00000000,6245.02000000,6485.85000000,71945.40060700,2018-10-29T08:00+08:00[Asia/Hong_Kong]
1541376000000,6485.85000000,6615.15000000,6355.00000000,6449.81000000,76161.78188000,2018-11-05T08:00+08:00[Asia/Hong_Kong]
1541980800000,6450.71000000,6498.00000000,5403.42000000,5662.00000000,205081.18393800,2018-11-12T08:00+08:00[Asia/Hong_Kong]
1542585600000,5661.94000000,5664.00000000,3652.66000000,4085.78000000,496323.79998000,2018-11-19T08:00+08:00[Asia/Hong_Kong]
1543190400000,4088.69000000,4450.38000000,3689.12000000,4161.01000000,479458.79915100,2018-11-26T08:00+08:00[Asia/Hong_Kong]
1543795200000,4160.55000000,4179.00000000,3222.00000000,3545.37000000,406435.81785400,2018-12-03T08:00+08:00[Asia/Hong_Kong]
1544400000000,3548.49000000,3610.00000000,3156.26000000,3228.67000000,249791.79078700,2018-12-10T08:00+08:00[Asia/Hong_Kong]
1545004800000,3229.22000000,4139.99000000,3216.00000000,3929.71000000,489096.27646700,2018-12-17T08:00+08:00[Asia/Hong_Kong]
1545609600000,3929.71000000,4198.00000000,3535.00000000,3801.91000000,332161.25544200,2018-12-24T08:00+08:00[Asia/Hong_Kong]
1546214400000,3803.12000000,4027.71000000,3630.33000000,3987.60000000,214860.90624200,2018-12-31T08:00+08:00[Asia/Hong_Kong]
1546819200000,3987.62000000,4069.80000000,3441.30000000,3476.81000000,245887.27794800,2019-01-07T08:00+08:00[Asia/Hong_Kong]
1547424000000,3477.56000000,3720.00000000,3467.02000000,3539.28000000,199395.79296500,2019-01-14T08:00+08:00[Asia/Hong_Kong]
1548028800000,3539.26000000,3662.94000000,3434.85000000,3550.84000000,154566.45086100,2019-01-21T08:00+08:00[Asia/Hong_Kong]
1548633600000,3550.05000000,3557.75000000,3349.92000000,3458.11000000,186574.10542300,2019-01-28T08:00+08:00[Asia/Hong_Kong]
1549238400000,3458.11000000,3733.58000000,3373.10000000,3680.06000000,198350.67398800,2019-02-04T08:00+08:00[Asia/Hong_Kong]
1549843200000,3679.75000000,3700.11000000,3568.11000000,3667.58000000,167995.80513900,2019-02-11T08:00+08:00[Asia/Hong_Kong]
1550448000000,3667.62000000,4198.00000000,3655.00000000,3743.56000000,301384.22226000,2019-02-18T08:00+08:00[Asia/Hong_Kong]
1551052800000,3743.56000000,3888.00000000,3677.17000000,3807.75000000,190343.24672600,2019-02-25T08:00+08:00[Asia/Hong_Kong]
1551657600000,3807.32000000,3971.75000000,3670.69000000,3916.82000000,207833.42997000,2019-03-04T08:00+08:00[Asia/Hong_Kong]
1552262400000,3915.99000000,4056.98000000,3810.43000000,3981.14000000,185620.34481300,2019-03-11T08:00+08:00[Asia/Hong_Kong]
1552867200000,3981.85000000,4069.32000000,3880.01000000,3992.18000000,156283.26348300,2019-03-18T08:00+08:00[Asia/Hong_Kong]
1553472000000,3991.35000000,4140.00000000,3888.71000000,4103.95000000,178114.87504900,2019-03-25T08:00+08:00[Asia/Hong_Kong]
1554076800000,4102.44000000,5275.01000000,4067.00000000,5170.27000000,420989.96873800,2019-04-01T08:00+08:00[Asia/Hong_Kong]
1554681600000,5170.27000000,5422.00000000,4861.22000000,5131.30000000,247866.40740500,2019-04-08T08:00+08:00[Asia/Hong_Kong]
1555286400000,5131.28000000,5333.42000000,4950.00000000,5256.14000000,168555.91174500,2019-04-15T08:00+08:00[Asia/Hong_Kong]
1555891200000,5257.41000000,5600.00000000,5102.00000000,5307.52000000,247392.82390400,2019-04-22T08:00+08:00[Asia/Hong_Kong]
1556496000000,5309.81000000,5900.00000000,5178.80000000,5775.62000000,191971.58997500,2019-04-29T08:00+08:00[Asia/Hong_Kong]
1557100800000,5773.18000000,7521.78000000,5619.14000000,6967.31000000,313283.73422500,2019-05-06T08:00+08:00[Asia/Hong_Kong]
1557705600000,6968.24000000,8366.00000000,6870.00000000,8148.48000000,461287.69413900,2019-05-13T08:00+08:00[Asia/Hong_Kong]
1558310400000,8147.94000000,8740.00000000,7461.00000000,8614.43000000,341677.39881000,2019-05-20T08:00+08:00[Asia/Hong_Kong]
1558915200000,8612.54000000,9074.26000000,8005.00000000,8725.98000000,292049.04381200,2019-05-27T08:00+08:00[Asia/Hong_Kong]
1559520000000,8726.00000000,8800.95000000,7444.58000000,7628.13000000,293308.70969600,2019-06-03T08:00+08:00[Asia/Hong_Kong]
1560124800000,7627.57000000,9333.00000000,7511.00000000,8953.33000000,274072.05837100,2019-06-10T08:00+08:00[Asia/Hong_Kong]
1560729600000,8953.00000000,11392.64000000,8950.00000000,10906.07000000,378253.00306500,2019-06-17T08:00+08:00[Asia/Hong_Kong]
1561334400000,10905.95000000,13970.00000000,10525.10000000,10854.10000000,684152.50877200,2019-06-24T08:00+08:00[Asia/Hong_Kong]
1561939200000,10854.10000000,12000.00000000,9727.00000000,11406.24000000,517740.07169300,2019-07-01T08:00+08:00[Asia/Hong_Kong]
1562544000000,11410.00000000,13147.08000000,10103.00000000,10174.18000000,510462.03567800,2019-07-08T08:00+08:00[Asia/Hong_Kong]
1563148800000,10174.18000000,11100.00000000,9060.00000000,10589.45000000,487080.97263000,2019-07-15T08:00+08:00[Asia/Hong_Kong]
1563753600000,10590.15000000,10683.16000000,9165.00000000,9541.54000000,269819.32510900,2019-07-22T08:00+08:00[Asia/Hong_Kong]
1564358400000,9541.54000000,11040.00000000,9395.00000000,10929.23000000,259518.80601900,2019-07-29T08:00+08:00[Asia/Hong_Kong]
1564963200000,10929.99000000,12330.70000000,10927.80000000,11549.97000000,371072.85766100,2019-08-05T08:00+08:00[Asia/Hong_Kong]
1565568000000,11539.08000000,11577.89000000,9750.00000000,10306.78000000,248273.37466500,2019-08-12T08:00+08:00[Asia/Hong_Kong]
1566172800000,10306.17000000,10949.96000000,9762.00000000,10142.69000000,232472.05333100,2019-08-19T08:00+08:00[Asia/Hong_Kong]
1566777600000,10142.69000000,10604.00000000,10137.93000000,10354.36000000,23782.26703000,2019-08-26T08:00+08:00[Asia/Hong_Kong]
