timestamp,open,high,low,close,volume
2001-09-19,9402.6504,9560.9404,9377.5596,9558.1504,333256200
2001-09-20,9415.0996,9415.0996,9249.1602,9317.9805,284966400
2001-09-21,9039.6504,9039.6504,8894.3604,8934.2002,519940400
2001-09-24,8971.4697,9292.2695,8971.4697,9284.5,442181500
2001-09-25,9411.3496,9440.2695,9166.1201,9210.0596,367545800
2001-09-26,9307.7598,9416.9502,9251.3096,9371.75,390860600
2001-09-27,9387.7998,9602.3496,9302,9600.79,296667600
2001-09-28,9682.3496,9959.3496,9663.0801,9950.7002,320775600
2001-10-03,9995.2197,10098.6904,9883.7598,9897.1396,333197400
2001-10-04,10082.75,10293.6396,10082.75,10286.3896,358779000
2001-10-05,10221.7598,10315.0098,10120.2803,10277.3799,576213400
2001-10-08,10153.5596,10153.5596,9904.9297,9967.8301,511535600
2001-10-09,10053.8799,10361.9697,10053.8799,10358.9297,409534200
2001-10-10,10335.5703,10425.3799,10184.5996,10298.2402,370696800
2001-10-11,10475.3604,10638.5801,10475.3604,10522.6104,398527200
2001-10-12,10614.6904,10614.6904,10243.6797,10274.1299,388528000
2001-10-15,10195.6396,10232.0703,10081.2803,10130.5898,275161200
2001-10-16,10164.6396,10229.1602,10056.8301,10148.4902,192816600
2001-10-17,10118.1396,10331.8203,10091.9404,10260.8096,414838800
2001-10-18,10101.9004,10101.9004,9817.9199,9880.6104,365696000
2001-10-19,9894.4199,9948,9801.6299,9825.8398,297211400
2001-10-22,9832.1104,9874.3896,9758.9805,9797.54,236566000
2001-10-23,9935.9004,10224.1201,9935.9004,10219.8398,344018800
2001-10-24,10231.3896,10280.0898,10158.7305,10243.46,287418600
2001-10-25,10243.46,10243.46,10243.46,10243.46,0
2001-10-26,10330.4404,10475.1904,10330.4404,10404.7402,346798600
2001-10-29,10406.9297,10406.9297,10079.0303,10178.0898,294616600
2001-10-30,10064.0703,10139.71,9927.4102,10076.4297,250693600
2001-10-31,10025.8203,10091.6504,9945.54,10073.9697,222865600
2001-11-01,10110.9199,10189.5596,10107.0898,10158.8496,203404400
2001-11-02,10238.0996,10333.8799,10097.6396,10186.0596,251110800
2001-11-05,10202.2998,10434.7803,10165.5098,10430.7197,244442600
2001-11-06,10528.1699,10556.7197,10303.0596,10356.0498,265733600
2001-11-07,10419.2402,10454.6904,10216.5098,10269.79,257144400
2001-11-08,10295.96,10594.5498,10280.8604,10538.6201,413372800
2001-11-09,10516.46,10716.5498,10465.6699,10609.25,403177400
2001-11-12,10618.0703,10699.54,10541.0195,10592.4502,239130600
2001-11-13,10536.5898,10713.6104,10462.0195,10662.8398,215009000
2001-11-14,10781.71,10954.7402,10781.71,10950.04,380540800
2001-11-15,10958.6602,11280.2695,10936.71,11239.3896,755798400
2001-11-16,11220.1201,11393.4902,11170.2998,11287.3701,404935200
2001-11-19,11292.9805,11396.3604,11292.9805,11360.2598,288361400
2001-11-20,11347.3096,11501.04,11148.2598,11225.79,611346400
2001-11-21,11208.2803,11311.7998,11149.5098,11173.9199,363374200
2001-11-22,11162.8203,11261.7695,11114.54,11253.2998,270360400
2001-11-23,11289.3398,11346.3301,11271.0303,11322.3604,234529600
2001-11-26,11380,11525.2598,11316.7402,11391.96,337983000
2001-11-27,11402.0303,11428.4902,11216.5303,11261.54,269437000
2001-11-28,11225.4102,11225.4102,11012.4697,11066.1904,362437400
2001-11-29,10974.6602,11120.7402,10905.04,11090.7402,350880400
2001-11-30,11116.3398,11359.1201,11116.3398,11279.25,407022600
2001-12-03,11253.9805,11257.71,11049.1504,11155.1504,357658600
2001-12-04,11169.2598,11429.6797,11076.3203,11427.2803,441430000
2001-12-05,11505.1104,11706.0898,11505.1104,11678.4404,544663200
2001-12-06,11818.9902,11957.8301,11672.5498,11745.8398,700296400
2001-12-07,11782.4697,11848.0898,11697.0898,11832.1797,309706200
2001-12-10,11786.9102,11836.21,11709.3701,11784.9199,237999600
2001-12-11,11756.5303,11756.5303,11633.2197,11693.0498,226849200
2001-12-12,11698.71,11865.1699,11592.4697,11847.0596,320961600
2001-12-13,11803.0195,11875.0303,11515.1299,11529.54,349863600
2001-12-14,11497.5898,11521.04,11349.5098,11466.1104,323402200
2001-12-17,11464.3799,11576.3096,11361.3496,11465.7803,175376000
2001-12-18,11521.6797,11599.5703,11391.3301,11486.9297,189541200
2001-12-19,11523.9199,11597.1299,11523.9199,11565.2305,147141600
2001-12-20,11547.9199,11639.2197,11447.7305,11601.1396,259933800
2001-12-21,11500.29,11500.29,11122.2002,11158.0996,277009200
2001-12-24,11189.5195,11249.9004,11182.4502,11209.7803,79446000
2001-12-27,11250.0498,11415.04,11208.4697,11359.5,129996400
2001-12-28,11359.5,11432.29,11309.0195,11431.5898,148860200
2001-12-31,11431.5898,11451.79,11347.79,11397.21,64712600
2002-01-02,11368.1299,11368.1299,11241.6299,11350.8496,106074600
2002-01-03,11348.7998,11447,11348.7998,11423.5195,274626200
2002-01-04,11547.0098,11727.8096,11547.0098,11702.1504,362553600
2002-01-07,11687.4297,11905.5498,11687.4297,11892.6396,442387000
2002-01-08,11781.1904,11806.25,11678.0596,11713.71,279504600
2002-01-09,11711.7695,11783.7002,11369.6299,11440.7197,428711600
2002-01-10,11361.0898,11361.0898,11168.8896,11256.0703,354783400
2002-01-11,11278.8604,11351.75,11085.4697,11166.46,316216600
2002-01-14,11081.3799,11213.8604,11029.2197,11209.4297,210140000
2002-01-15,11071.4902,11071.4902,10965.2402,11013.5898,230468200
2002-01-16,11035.4902,11080.5498,10910.75,10964.0898,194573800
2002-01-17,10888.1104,11020.21,10808,11013.8398,221629000
